id,name,nation,height,birthdate
1,Rim Jong-sim,north korea,163,05/02/1993
2,Darya Naumava,belarus,165,26/03/1995
3,Lidia Valentín,spain,169,10/02/1985
4,Ubaldina Valoyes,colombia,158,06/07/1982
5,Iryna Dekha,ukraine,174,14/05/1996
6,Jenny Arthur,usa,166,11/12/1993
7,María Fernanda Valdés,chile,162,11/03/1992
8,Gaëlle Nayo-Ketchanke,france,174,20/04/1988
9,Alejandra Garza,mexico,165,01/08/1991
10,Sona Poghosyan,armenia,158,29/06/1998
11,Mary Opeloge,samoa,152,24/01/1992
12,Natalia Prișcepa,moldova,168,17/10/1989
13,Assiya İpek,turkey,168,05/12/1993
14,Samira Ouass,morocco,162,22/04/1992
15,Jaqueline Ferreira,brazil,165,05/04/1987
16,Abeer Abdelrahman,egypt,162,13/06/1992
17,Madias Nzesso,cameroon,164,20/04/1992
18,Ewa Mizdal,poland,160,18/07/1987
19,Lim Ji-hye,south korea,163,28/10/1985
20,Thuraia Sobh,syria,177,04/01/1986
21,Khadija Mohammed,united arab emirates,160,19/06/1995
22,Nadezhda Evstyukhina,russia,164,27/05/1988
23,Svetlana Podobedova,kazakhstan,165,25/05/1986
24,Natalya Zabolotnaya,russia,168,15/08/1985
25,Iryna Kulesha,belarus,163,26/06/1986
26,Alla Vazhenina ,kazakhstan,175,29/05/1983
27,Damaris Aguirre,mexico,163,25/07/1977
28,Jeane Lassen,canada,170,26/09/1980
29,Nadiya Myronyuk,ukraine,158,25/03/1984
30,Yuliya Novakovich,belarus,165,06/05/1989
31,Elizabeth Poblete,chile,160,28/09/1987
32,Cao Lei,china,168,24/12/1983
33,Hripsime Khurshudyan,armenia,173,27/07/1987
34,Pawina Thongsuk,thailand,156,18/04/1979
35,Valentina Popova,russia,164,25/09/1972
36,Gyöngyi Likerecz,hungary,172,28/05/1983
37,Christina Ioannidi,greece,163,04/01/1982
38,Tatyana Khromova,kazakhstan,173,26/02/1980
39,Kim Soon-hee,korea,165,21/02/1977
40,Tulia Medina,colombia,169,18/03/1983
41,Nora Köppel,argentina,175,19/05/1972
42,Wanda Rijo,dominican republic,170,26/11/1979
43,Eva Dimas,el salvador,167,18/03/1973
44,Deborah Lovely,australia,170,20/06/1983
45,Marie Jesika Dalou,mauritius,163,27/07/1979
46,Nahla Ramadan,egypt,175,04/04/1985
47,Huang Shih-chun,taipei,160,30/11/1975
48,María Isabel Urrutia,colombia,170,25/03/1965
49,Ruth Ogbeifo,nigeria,161,18/04/1972
50,Kuo Yi-hang,taipei,166,02/06/1964
51,Svetlana Khabirova,russia,164,12/03/1978
52,Cara Heads,usa,160,07/10/1977
53,Mónica Carrió,spain,170,28/03/1977
54,Karoliina Lundahl,finland,171,30/06/1968
